"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2025","3,353.84","3,322.52","3,360.82","3,315.23","","0.93%"
"06/10/2025","3,323.02","3,328.58","3,349.28","3,301.92","","-0.16%"
"06/09/2025","3,328.33","3,311.51","3,338.43","3,293.70","","0.55%"
"06/06/2025","3,310.17","3,354.26","3,375.74","3,306.87","","-1.31%"
"06/05/2025","3,354.16","3,376.55","3,403.55","3,339.20","","-0.66%"
"06/04/2025","3,376.54","3,352.56","3,384.84","3,343.76","","0.72%"
"06/03/2025","3,352.25","3,379.99","3,392.53","3,333.08","","-0.83%"
"06/02/2025","3,380.21","3,289.80","3,383.24","3,289.41","","2.76%"
"05/30/2025","3,289.40","3,319.51","3,322.95","3,271.55","","-0.83%"
"05/29/2025","3,317.02","3,286.36","3,330.94","3,245.55","","0.83%"
"05/28/2025","3,289.76","3,300.70","3,325.68","3,276.31","","-0.33%"
"05/27/2025","3,300.68","3,344.00","3,350.21","3,285.70","","-1.26%"
"05/26/2025","3,342.94","3,354.30","3,357.03","3,323.91","","-0.43%"
"05/23/2025","3,357.42","3,297.15","3,366.39","3,287.24","","1.89%"
"05/22/2025","3,295.00","3,316.49","3,345.62","3,279.55","","-0.60%"
"05/21/2025","3,314.99","3,290.12","3,325.14","3,285.51","","0.76%"
"05/20/2025","3,290.12","3,229.85","3,295.98","3,204.40","","1.87%"
"05/19/2025","3,229.85","3,214.60","3,249.91","3,205.98","","0.85%"
"05/16/2025","3,202.77","3,239.11","3,252.27","3,154.32","","-1.18%"
"05/15/2025","3,240.87","3,178.06","3,241.26","3,120.52","","1.95%"
"05/14/2025","3,178.75","3,248.37","3,257.39","3,167.95","","-2.15%"
"05/13/2025","3,248.47","3,233.40","3,265.44","3,215.96","","0.43%"
"05/12/2025","3,234.70","3,324.98","3,325.42","3,207.67","","-2.70%"
"05/09/2025","3,324.63","3,305.51","3,347.64","3,274.94","","0.58%"
"05/08/2025","3,305.52","3,366.95","3,414.96","3,288.80","","-1.77%"
"05/07/2025","3,365.21","3,430.21","3,438.59","3,360.20","","-1.89%"
"05/06/2025","3,430.21","3,336.39","3,435.17","3,322.98","","2.87%"
"05/05/2025","3,334.50","3,240.00","3,337.81","3,237.81","","2.89%"
"05/02/2025","3,240.88","3,238.55","3,269.49","3,222.75","","0.00%"
"05/01/2025","3,241.00","3,288.55","3,290.94","3,202.09","","-1.45%"
"04/30/2025","3,288.59","3,316.92","3,328.36","3,267.09","","-0.86%"
"04/29/2025","3,317.18","3,341.67","3,349.08","3,299.23","","-0.73%"
"04/28/2025","3,341.67","3,328.40","3,353.33","3,267.81","","0.67%"
"04/25/2025","3,319.45","3,347.20","3,371.15","3,265.25","","-0.89%"
"04/24/2025","3,349.10","3,288.43","3,367.59","3,287.77","","1.85%"
"04/23/2025","3,288.26","3,382.55","3,386.89","3,260.50","","-2.79%"
"04/22/2025","3,382.54","3,421.57","3,500.33","3,366.74","","-1.22%"
"04/21/2025","3,424.30","3,334.41","3,430.93","3,327.82","","2.91%"
"04/17/2025","3,327.54","3,344.41","3,358.00","3,283.87","","-0.47%"
"04/16/2025","3,343.22","3,226.25","3,345.19","3,226.25","121.32K","3.58%"
"04/15/2025","3,227.60","3,210.21","3,234.16","3,209.36","121.32K","0.57%"
"04/14/2025","3,209.28","3,237.35","3,245.84","3,193.41","","-0.83%"
"04/11/2025","3,236.21","3,174.14","3,245.69","3,174.14","","1.96%"
"04/10/2025","3,173.92","3,083.75","3,176.94","3,071.03","","2.98%"
"04/09/2025","3,082.18","2,984.08","3,099.87","2,970.01","","3.30%"
"04/08/2025","2,983.78","2,983.39","3,022.84","2,974.45","","0.04%"
"04/07/2025","2,982.54","3,038.02","3,055.88","2,956.60","","-1.80%"
"04/04/2025","3,037.36","3,113.16","3,137.10","3,015.64","","-2.42%"
"04/03/2025","3,112.83","3,134.16","3,168.04","3,054.19","","-0.66%"
"04/02/2025","3,133.57","3,111.00","3,140.36","3,104.81","","0.74%"
"04/01/2025","3,110.55","3,123.36","3,149.11","3,100.85","","-0.40%"
"03/31/2025","3,123.05","3,086.54","3,128.29","3,076.62","","1.27%"
"03/28/2025","3,084.03","3,056.35","3,086.93","3,053.91","","0.91%"
"03/27/2025","3,056.10","3,019.56","3,059.75","3,017.26","","1.22%"
"03/26/2025","3,019.29","3,020.13","3,032.23","3,012.38","","-0.02%"
"03/25/2025","3,019.85","3,012.40","3,035.94","3,007.53","","0.25%"
"03/24/2025","3,012.27","3,023.03","3,033.44","3,002.34","","-0.38%"
"03/21/2025","3,023.63","3,042.60","3,047.66","2,999.46","","-0.68%"
"03/20/2025","3,044.41","3,046.31","3,057.51","3,025.56","","-0.09%"
"03/19/2025","3,047.18","3,032.20","3,052.30","3,022.73","","0.44%"
